epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,6214.99,1.95941,2.79777,2.29356,0.38425,0.37473,0.32798,0.122,2.17632,2.72971,2.71938,0.000656379,0.000656379,0.000656379
126,6264.39,1.93642,2.79736,2.30437,0.40298,0.28489,0.27832,0.10953,2.27059,3.00104,2.86207,0.000652712,0.000652712,0.000652712
127,6314.13,1.93557,2.78625,2.29201,0.45878,0.38448,0.35186,0.13018,2.2296,2.77823,2.80296,0.000649046,0.000649046,0.000649046
128,6363.83,1.96257,2.7331,2.32423,0.3979,0.39839,0.36123,0.13369,2.21629,2.89611,2.79347,0.00064538,0.00064538,0.00064538
129,6413.5,1.94803,2.76877,2.29537,0.36099,0.32754,0.31315,0.11735,2.25868,2.78071,2.85536,0.000641714,0.000641714,0.000641714
130,6463.15,1.96657,2.76983,2.29576,0.33811,0.42136,0.31921,0.11806,2.1902,2.77418,2.78195,0.000638047,0.000638047,0.000638047
131,6512.76,1.95428,2.74721,2.3031,0.54892,0.39313,0.35302,0.12873,2.19837,2.73225,2.74112,0.000634381,0.000634381,0.000634381
132,6562.46,1.96593,2.75525,2.31088,0.36391,0.41067,0.36295,0.13704,2.23524,2.81551,2.81603,0.000630715,0.000630715,0.000630715
133,6611.97,1.9625,2.73634,2.29583,0.35795,0.39574,0.33993,0.1216,2.26071,2.81008,2.79132,0.000627048,0.000627048,0.000627048
134,6661.59,1.96547,2.73035,2.28708,0.49877,0.32205,0.36598,0.13077,2.22728,2.66624,2.78771,0.000623382,0.000623382,0.000623382
135,6711.07,1.95561,2.74413,2.29136,0.34982,0.39956,0.36807,0.14327,2.19114,2.72171,2.74475,0.000619716,0.000619716,0.000619716
136,6760.91,1.95058,2.7179,2.27892,0.45903,0.34287,0.34782,0.14124,2.26855,2.82852,2.87659,0.000616049,0.000616049,0.000616049
137,6810.69,1.95233,2.7004,2.29237,0.40514,0.39584,0.36064,0.15258,2.25137,2.73464,2.83114,0.000612383,0.000612383,0.000612383
138,6860.4,1.93472,2.6983,2.26894,0.41833,0.41924,0.36019,0.13858,2.18352,2.6263,2.75036,0.000608717,0.000608717,0.000608717
139,6910.2,1.93307,2.6869,2.30627,0.39012,0.35408,0.33863,0.13109,2.21945,2.75055,2.7839,0.000605051,0.000605051,0.000605051
140,6959.7,1.94632,2.74964,2.29037,0.34958,0.35918,0.32845,0.14677,2.22083,2.75208,2.79985,0.000601384,0.000601384,0.000601384
141,7009.5,1.96724,2.73832,2.29963,0.38693,0.47836,0.35779,0.1374,2.21237,2.63751,2.76846,0.000597718,0.000597718,0.000597718
142,7059.22,1.95908,2.73589,2.2732,0.41713,0.37289,0.34146,0.13944,2.19128,2.74852,2.75116,0.000594052,0.000594052,0.000594052
143,7109.03,1.94917,2.6933,2.28479,0.39864,0.42968,0.37968,0.15156,2.17521,2.61391,2.72636,0.000590385,0.000590385,0.000590385
144,7158.88,1.93703,2.66637,2.27643,0.55003,0.31833,0.37961,0.14546,2.17812,2.61547,2.72886,0.000586719,0.000586719,0.000586719
145,7208.65,1.94002,2.70396,2.28099,0.35769,0.38398,0.34635,0.13507,2.22139,2.6295,2.77829,0.000583053,0.000583053,0.000583053
146,7258.34,1.93841,2.72794,2.3001,0.4692,0.36919,0.39346,0.15128,2.18547,2.63725,2.73195,0.000579386,0.000579386,0.000579386
147,7307.99,1.93525,2.70038,2.27273,0.44098,0.37859,0.37198,0.14584,2.1662,2.66791,2.72085,0.00057572,0.00057572,0.00057572
148,7357.61,1.94958,2.65862,2.27387,0.41522,0.38241,0.40598,0.15471,2.18803,2.65544,2.7706,0.000572054,0.000572054,0.000572054
149,7407.37,1.91704,2.69747,2.26657,0.52309,0.39699,0.39208,0.15968,2.18152,2.64717,2.75028,0.000568388,0.000568388,0.000568388
150,7457.06,1.94087,2.66135,2.28174,0.50261,0.43269,0.39448,0.1561,2.19228,2.6135,2.72025,0.000564721,0.000564721,0.000564721
151,7506.7,1.9507,2.68338,2.28019,0.41042,0.36537,0.36056,0.13766,2.22924,2.67948,2.78938,0.000561055,0.000561055,0.000561055
152,7556.42,1.9271,2.69671,2.27799,0.43429,0.45922,0.3733,0.14014,2.17876,2.67185,2.70327,0.000557389,0.000557389,0.000557389
153,7606.07,1.91345,2.68684,2.25675,0.47807,0.42727,0.41677,0.16127,2.19627,2.60266,2.73582,0.000553722,0.000553722,0.000553722
